term,count,tf
acu,2,0.0035460992907801418
rating,1,0.0017730496453900709
citizen,2,0.0035460992907801418
test,4,0.0070921985815602835
ratings,1,0.0017730496453900709
senate,3,0.005319148936170213
votes,1,0.0017730496453900709
ve,1,0.0017730496453900709
seen,1,0.0017730496453900709
american,1,0.0017730496453900709
conservative,1,0.0017730496453900709
union,1,0.0017730496453900709
rates,1,0.0017730496453900709
congress,3,0.005319148936170213
stack,1,0.0017730496453900709
jesse,1,0.0017730496453900709
helms,6,0.010638297872340425
balanced,2,0.0035460992907801418
budget,8,0.014184397163120567
amendment,26,0.04609929078014184
passage,7,0.012411347517730497
joint,2,0.0035460992907801418
resolution,5,0.008865248226950355
pass,1,0.0017730496453900709
constitutional,2,0.0035460992907801418
balance,2,0.0035460992907801418
ratification,1,0.0017730496453900709
support,22,0.03900709219858156
oppose,22,0.03900709219858156
push,1,0.0017730496453900709
button,1,0.0017730496453900709
strikes,1,0.0017730496453900709
motion,5,0.008865248226950355
invoke,2,0.0035460992907801418
cloture,2,0.0035460992907801418
allowing,1,0.0017730496453900709
measure,1,0.0017730496453900709
voted,1,0.0017730496453900709
kassebaum,4,0.0070921985815602835
block,2,0.0035460992907801418
implementation,2,0.0035460992907801418
presidential,3,0.005319148936170213
executive,2,0.0035460992907801418
barring,1,0.0017730496453900709
federal,8,0.014184397163120567
contractors,1,0.0017730496453900709
permanently,1,0.0017730496453900709
replacing,1,0.0017730496453900709
striking,1,0.0017730496453900709
workers,1,0.0017730496453900709
overturned,1,0.0017730496453900709
established,2,0.0035460992907801418
labor,1,0.0017730496453900709
law,2,0.0035460992907801418
line,2,0.0035460992907801418
item,1,0.0017730496453900709
veto,2,0.0035460992907801418
bill,11,0.01950354609929078
provide,4,0.0070921985815602835
president,4,0.0070921985815602835
ability,1,0.0017730496453900709
individual,2,0.0035460992907801418
items,1,0.0017730496453900709
appropriations,2,0.0035460992907801418
targeted,1,0.0017730496453900709
tax,6,0.010638297872340425
breaks,1,0.0017730496453900709
revenue,1,0.0017730496453900709
entitlement,1,0.0017730496453900709
spending,3,0.005319148936170213
product,3,0.005319148936170213
liability,2,0.0035460992907801418
overhaul,2,0.0035460992907801418
rewrite,1,0.0017730496453900709
rules,1,0.0017730496453900709
governing,1,0.0017730496453900709
suits,1,0.0017730496453900709
courts,1,0.0017730496453900709
capping,1,0.0017730496453900709
punitive,1,0.0017730496453900709
damages,1,0.0017730496453900709
companies,2,0.0035460992907801418
placing,1,0.0017730496453900709
limits,1,0.0017730496453900709
awards,1,0.0017730496453900709
larger,1,0.0017730496453900709
reducing,2,0.0035460992907801418
consumer,1,0.0017730496453900709
costs,2,0.0035460992907801418
increasing,1,0.0017730496453900709
availability,1,0.0017730496453900709
cuts,3,0.005319148936170213
gramm,3,0.005319148936170213
similar,1,0.0017730496453900709
provided,2,0.0035460992907801418
house,1,0.0017730496453900709
including,1,0.0017730496453900709
child,1,0.0017730496453900709
credit,1,0.0017730496453900709
reduction,1,0.0017730496453900709
capital,1,0.0017730496453900709
gains,1,0.0017730496453900709
rate,1,0.0017730496453900709
expansion,1,0.0017730496453900709
iras,1,0.0017730496453900709
elimination,1,0.0017730496453900709
marriage,1,0.0017730496453900709
penalty,3,0.005319148936170213
code,1,0.0017730496453900709
welfare,3,0.005319148936170213
politicians,1,0.0017730496453900709
kerry,2,0.0035460992907801418
strike,1,0.0017730496453900709
provisions,1,0.0017730496453900709
eliminate,1,0.0017730496453900709
campaign,1,0.0017730496453900709
fund,4,0.0070921985815602835
supported,2,0.0035460992907801418
check,1,0.0017730496453900709
returns,1,0.0017730496453900709
current,1,0.0017730496453900709
major,1,0.0017730496453900709
party,1,0.0017730496453900709
candidates,1,0.0017730496453900709
taxpayer,2,0.0035460992907801418
funds,3,0.005319148936170213
gop,1,0.0017730496453900709
sought,1,0.0017730496453900709
continue,1,0.0017730496453900709
funding,2,0.0035460992907801418
campaigns,1,0.0017730496453900709
death,2,0.0035460992907801418
delays,1,0.0017730496453900709
kyl,1,0.0017730496453900709
prohibit,5,0.008865248226950355
habeas,2,0.0035460992907801418
corpus,2,0.0035460992907801418
appeals,1,0.0017730496453900709
adequate,1,0.0017730496453900709
effective,1,0.0017730496453900709
remedies,1,0.0017730496453900709
legality,1,0.0017730496453900709
detention,1,0.0017730496453900709
appeal,1,0.0017730496453900709
commonly,1,0.0017730496453900709
legal,4,0.0070921985815602835
tactic,1,0.0017730496453900709
delay,1,0.0017730496453900709
convicted,1,0.0017730496453900709
murderers,1,0.0017730496453900709
foster,2,0.0035460992907801418
nomination,3,0.005319148936170213
limiting,1,0.0017730496453900709
debate,1,0.0017730496453900709
henry,1,0.0017730496453900709
jr,1,0.0017730496453900709
surgeon,1,0.0017730496453900709
repealing,1,0.0017730496453900709
affirmative,1,0.0017730496453900709
action,1,0.0017730496453900709
money,4,0.0070921985815602835
fy,1,0.0017730496453900709
legislative,1,0.0017730496453900709
branch,1,0.0017730496453900709
award,1,0.0017730496453900709
contracts,1,0.0017730496453900709
based,1,0.0017730496453900709
race,1,0.0017730496453900709
color,1,0.0017730496453900709
national,1,0.0017730496453900709
origin,1,0.0017730496453900709
gender,1,0.0017730496453900709
contractor,1,0.0017730496453900709
ryan,2,0.0035460992907801418
white,2,0.0035460992907801418
reauthorization,2,0.0035460992907801418
authorize,1,0.0017730496453900709
aids,1,0.0017730496453900709
research,1,0.0017730496453900709
gutted,1,0.0017730496453900709
tougher,1,0.0017730496453900709
passed,1,0.0017730496453900709
earlier,1,0.0017730496453900709
day,1,0.0017730496453900709
prevented,1,0.0017730496453900709
directly,2,0.0035460992907801418
indirectly,1,0.0017730496453900709
promote,1,0.0017730496453900709
homosexuality,1,0.0017730496453900709
intravenous,1,0.0017730496453900709
drug,1,0.0017730496453900709
defined,1,0.0017730496453900709
promotion,1,0.0017730496453900709
broadly,1,0.0017730496453900709
included,1,0.0017730496453900709
definition,1,0.0017730496453900709
missile,2,0.0035460992907801418
defenses,1,0.0017730496453900709
thurmond,1,0.0017730496453900709
table,3,0.005319148936170213
kill,3,0.005319148936170213
dorgan,1,0.0017730496453900709
cut,2,0.0035460992907801418
anti,1,0.0017730496453900709
defense,1,0.0017730496453900709
program,3,0.005319148936170213
designed,1,0.0017730496453900709
protect,1,0.0017730496453900709
territory,1,0.0017730496453900709
requirement,1,0.0017730496453900709
require,3,0.005319148936170213
able,1,0.0017730496453900709
bodied,1,0.0017730496453900709
elderly,1,0.0017730496453900709
food,1,0.0017730496453900709
stamp,1,0.0017730496453900709
recipients,2,0.0035460992907801418
hours,1,0.0017730496453900709
week,1,0.0017730496453900709
period,1,0.0017730496453900709
population,2,0.0035460992907801418
united,1,0.0017730496453900709
nations,1,0.0017730496453900709
unfpa,2,0.0035460992907801418
certifies,1,0.0017730496453900709
terminated,1,0.0017730496453900709
activities,1,0.0017730496453900709
china,1,0.0017730496453900709
coercive,1,0.0017730496453900709
abortions,2,0.0035460992907801418
result,1,0.0017730496453900709
policies,1,0.0017730496453900709
chinese,1,0.0017730496453900709
government,1,0.0017730496453900709
department,1,0.0017730496453900709
leahy,1,0.0017730496453900709
submit,1,0.0017730496453900709
months,1,0.0017730496453900709
plan,1,0.0017730496453900709
abolishing,1,0.0017730496453900709
foreign,1,0.0017730496453900709
affairs,1,0.0017730496453900709
agencies,1,0.0017730496453900709
arms,1,0.0017730496453900709
control,1,0.0017730496453900709
disarmament,1,0.0017730496453900709
agency,3,0.005319148936170213
international,1,0.0017730496453900709
development,1,0.0017730496453900709
information,1,0.0017730496453900709
americorps,2,0.0035460992907801418
mikulski,1,0.0017730496453900709
pays,1,0.0017730496453900709
called,1,0.0017730496453900709
volunteers,1,0.0017730496453900709
engage,1,0.0017730496453900709
community,1,0.0017730496453900709
service,1,0.0017730496453900709
programs,2,0.0035460992907801418
services,3,0.005319148936170213
corporation,3,0.005319148936170213
domenici,1,0.0017730496453900709
