Term,DocId,TfIdf
marsh,84,0.3454651868462371
creek,84,0.2671675013152766
waste,84,0.1156910982813971
water,84,0.1174694579595924
treatment,84,0.07037942805922708
plant,84,0.15008571726157693
avenue,84,0.04095188988666623
geneva,84,0.045695510157977536
york,84,0.03689145104341223
environmentally,84,0.06042869761224811
recognized,84,0.04390674961246912
epa,84,0.050292069909544
environmental,84,0.030455006702268483
protection,84,0.02657807009847048
agency,84,0.02766571231084085
pollution,84,0.046696044003896736
control,84,0.019230736787194
association,84,0.02637145382408035
outstanding,84,0.046696044003896736
achievement,84,0.04476916050605601
operation,84,0.031036506897704638
facility,84,0.07504285863078848
schools,84,0.03655941630119263
youth,84,0.042342210325544034
organizations,84,0.028609556717192668
welcome,84,0.04162773015254468
encouraged,84,0.05536038376089605
tour,84,0.045695510157977536
arrangements,84,0.046696044003896736
calling,84,0.04095188988666623
superintendent,84,0.06909303736924742
gordon,84,0.047783686216267114
business,84,0.01400904677844426
hours,84,0.033677870568544724
composting,84,0.06402472351789537
process,84,0.04386705128612889
saves,84,0.06402472351789537
land,84,0.029630532104871005
fill,84,0.04897506346382117
space,84,0.02789507654419331
money,84,0.025198719383859664
creates,84,0.047783686216267114
clean,84,0.04310001809824948
soil,84,0.047783686216267114
enhancement,84,0.05536038376089605
product,84,0.06524180643638787
sale,84,0.04095188988666623
contacting,84,0.05536038376089605
lead,84,0.033677870568544724
page,84,0.014396074598493847
mail,84,0.024473878663230298
fax,84,0.0293673644898981
copyright,84,0.01210395927566387
spider,84,0.057639403220820486
graphics,84,0.04390674961246912
corporation,84,0.03296339039554537
updated,84,0.01580953890623098
june,84,0.028609556717192668
