Term,DocId,TfIdf
htm,6,0.12978598686333934
battle,6,0.3028594564588474
creek,6,0.4136787117139767
st,6,0.1502432175476847
philip,6,0.3118900521922483
neri,6,0.4013283980709509
fraternity,6,0.15594502609612415
gray,6,0.10927022019495236
sfo,6,0.12978598686333934
minister,6,0.07859356568327347
mail,6,0.06315839655027174
iserv,6,0.14286550647973173
net,6,0.08248479109580945
academy,6,0.1233127386226248
street,6,0.07512160877384234
mi,6,0.14397458861519127
meet,6,0.07139538660862155
sunday,6,0.15594502609612415
parish,6,0.15594502609612415
prayer,6,0.15594502609612415
capital,6,0.07139538660862155
ave,6,0.13358543962644848
ne,6,0.07646588930289293
