Term,DocId,TfIdf
online,502,0.09360431974095136
entertainment,502,0.048206252474349925
trails,502,0.02124965190760373
tv,502,0.01112839875158595
headline,502,0.009394901145152587
font,502,0.4357792243508186
family,502,0.056188954320840014
arial,502,0.11147840622927918
size,502,0.08476474668615422
weight,502,0.09922639681679224
bold,502,0.03135488285838753
text,502,0.09188929873605496
decoration,502,0.15573910156911416
line,502,0.054345934579884035
height,502,0.12594401197308064
color,502,0.10284846783632212
black,502,0.0409304935962457
newsheadline,502,0.010134400566298107
normal,502,0.023947978976995684
shorttakes,502,0.010134400566298107
medium,502,0.03958304631074557
margin,502,0.03537024696934963
left,502,0.010060503460990829
shorttakesbold,502,0.010134400566298107
times,502,0.011345805492985543
date,502,0.005209763886570728
byline,502,0.010134400566298107
menu,502,0.007719868063730834
services,502,0.01360669306055238
attribution,502,0.009394901145152587
style,502,0.005354726453146107
italic,502,0.010134400566298107
quote,502,0.008842561742337409
search,502,0.011715349927957478
jointext,502,0.010134400566298107
green,502,0.010709452906292214
visited,502,0.007319161345502362
underline,502,0.020268801132596215
link,502,0.005619842909824382
blue,502,0.006428029239770134
function,502,0.009891420907901616
setwindowname,502,0.020268801132596215
name,502,0.004636739133904238
openwindow,502,0.010134400566298107
window,502,0.017685123484674818
http,502,0.01496272385616469
www,502,0.014130017974905625
news,502,0.01708944220732909
com,502,0.006524054197220786
pages,502,0.009023471908879926
html,502,0.02006067916319864
newwin,502,0.020268801132596215
resizable,502,0.020268801132596215
scrollbars,502,0.020268801132596215
status,502,0.008026993474405717
width,502,0.018202851113933643
var,502,0.007578025160131776
mywindow,502,0.03040320169889432
location,502,0.013373786108799095
alex,502,0.010624825953801868
lash,502,0.012148226350636912
july,502,0.005354726453146107
pt,502,0.008401527246816197
computer,502,0.015771090815015237
users,502,0.03343446527199773
consider,502,0.00619646766689579
world,502,0.0027642759117358947
replacement,502,0.009733693848069635
sources,502,0.003042435743182993
survey,502,0.02318304379466927
worldwide,502,0.006878126849981152
internet,502,0.02162101146730705
tracking,502,0.00910142555696682
service,502,0.00352850473243622
percent,502,0.1269620070296499
respondents,502,0.012148226350636912
described,502,0.011471086845958307
cyberspace,502,0.011257094244904682
usually,502,0.005921383836227644
television,502,0.005986994744248922
conducted,502,0.00651097501555661
april,502,0.004904628842935088
study,502,0.002779699148348305
covers,502,0.007087599772628019
home,502,0.009536630620215186
business,502,0.004926258207804576
people,502,0.008527493307313415
conclusions,502,0.007200332287765494
follows,502,0.006980368642585312
population,502,0.004864301065642348
including,502,0.002371267282630944
school,502,0.004463594347413878
months,502,0.004987574618721565
prior,502,0.005509929897572378
interviewed,502,0.009733693848069635
projects,502,0.00619646766689579
user,502,0.012541953143355012
nearly,502,0.008034375412391655
half,502,0.005921383836227644
connected,502,0.007578025160131776
hours,502,0.011842767672455288
week,502,0.010709452906292214
remaining,502,0.008611000169463064
access,502,0.004864301065642348
looking,502,0.005405252866826763
drew,502,0.007719868063730834
comparisons,502,0.007578025160131776
printed,502,0.00910142555696682
avid,502,0.010134400566298107
readers,502,0.008611000169463064
books,502,0.005509929897572378
confirmed,502,0.008210293451234592
conventional,502,0.007319161345502362
wisdom,502,0.008401527246816197
concerning,502,0.0047100059916352095
net,502,0.011239685819648765
male,502,0.007087599772628019
college,502,0.005921383836227644
educated,502,0.009733693848069635
household,502,0.008401527246816197
incomes,502,0.009394901145152587
putting,502,0.00910142555696682
larger,502,0.007087599772628019
backdrop,502,0.010134400566298107
full,502,0.004212143026144109
time,502,0.002423288698204361
students,502,0.005619842909824382
compared,502,0.005073773988289217
unemployed,502,0.010624825953801868
retired,502,0.008034375412391655
employees,502,0.005921383836227644
know,502,0.005676931890930449
engine,502,0.008611000169463064
refuse,502,0.007871500748317542
map,502,0.007087599772628019
read,502,0.011973989488497844
instruction,502,0.007871500748317542
manuals,502,0.011257094244904682
findings,502,0.0066868930543995475
included,502,0.005405252866826763
email,502,0.007200332287765494
month,502,0.005619842909824382
interview,502,0.006428029239770134
accessed,502,0.019467387696139274
web,502,0.005619842909824382
went,502,0.006980368642585312
obtain,502,0.006270976571677507
sought,502,0.008401527246816197
information,502,0.0021983172418053067
specific,502,0.002826629092239665
products,502,0.005354726453146107
magazine,502,0.006878126849981152
downloaded,502,0.009733693848069635
shareware,502,0.012148226350636912
attempted,502,0.008401527246816197
banking,502,0.007200332287765494
transaction,502,0.009733693848069635
adult,502,0.007444784233062689
related,502,0.003933567848915222
story,502,0.0053053355611635605
estimates,502,0.009394901145152587
earth,502,0.0063481003514824965
copyright,502,0.002128168663852988
cnet,502,0.008611000169463064
rights,502,0.002463129103902288
reserved,502,0.002874583042557555
