Term,DocId,TfIdf
cpj,36,0.06231205930633299
press,36,0.030711640266530813
freedom,36,0.012176435944284202
briefing,36,0.02746758982374914
conclusion,36,0.014983359270702441
presidential,36,0.013468423684032277
race,36,0.01565258106420462
close,36,0.028769439954384125
winner,36,0.02746758982374914
tempted,36,0.03140592607693065
crack,36,0.02516381080040729
control,36,0.008741243994179089
opposition,36,0.02743099636737976
rule,36,0.012785785548566008
zyuganov,36,0.019957613460213238
filing,36,0.02122547454722579
formal,36,0.018921695523883945
complaints,36,0.02516381080040729
central,36,0.010517854077458623
electoral,36,0.0180458393885018
commission,36,0.01371549818368988
unfair,36,0.02352925357056763
media,36,0.0060971346209448074
coverage,36,0.029966718541404883
lack,36,0.01359061803187866
television,36,0.061910968378028626
access,36,0.012575323777654931
revenge,36,0.0291021470535888
mind,36,0.011894635142355952
loses,36,0.024287954665025147
angry,36,0.026199728736736583
charges,36,0.015832971395537458
election,36,0.014827683280997244
fraud,36,0.019957613460213238
yeltsin,36,0.031665942791074916
limit,36,0.017055195143361016
communist,36,0.026233717780359014
temporarily,36,0.026199728736736583
newspapers,36,0.01861449540303011
parliamentary,36,0.016617916500542104
rebellion,36,0.021719857371030504
faced,36,0.022261392483555083
contentious,36,0.03140592607693065
parliament,36,0.015143421071649581
war,36,0.010517854077458623
chechnya,36,0.019246459238883653
strengthened,36,0.03140592607693065
president,36,0.010237213422176941
security,36,0.010737822896667092
apparatus,36,0.026199728736736583
allowed,36,0.015143421071649581
fsb,36,0.022860031777065457
interior,36,0.019246459238883653
ministry,36,0.017287138294044282
military,36,0.011045023017520932
journalists,36,0.0673294007290513
investigations,36,0.01861449540303011
started,36,0.01861449540303011
assassinations,36,0.03140592607693065
sending,36,0.02034961841184364
grim,36,0.0291021470535888
signal,36,0.02077068643544433
assassins,36,0.0291021470535888
dissatisfied,36,0.02746758982374914
urges,36,0.02746758982374914
russian,36,0.036820690219658864
government,36,0.0075581877379431
fully,36,0.01565258106420462
investigate,36,0.018921695523883945
murders,36,0.02352925357056763
disappearances,36,0.03140592607693065
following,36,0.009652281778697154
bring,36,0.014983359270702441
perpetrators,36,0.0291021470535888
crimes,36,0.015477742094507157
justice,36,0.013348802040862771
murdered,36,0.021719857371030504
yuri,36,0.03140592607693065
soltis,36,0.03140592607693065
interfax,36,0.02746758982374914
june,36,0.03901303188708091
dmitry,36,0.0291021470535888
kholodov,36,0.0291021470535888
moskovsky,36,0.03140592607693065
komsomolets,36,0.024287954665025147
oct,36,0.019957613460213238
viatcheslav,36,0.03140592607693065
rudnev,36,0.03140592607693065
free,36,0.025302131619975743
lancer,36,0.10603278699033646
feb,36,0.09411701428227053
vladislav,36,0.03140592607693065
listyev,36,0.03140592607693065
public,36,0.007067366066358891
ort,36,0.019246459238883653
march,36,0.040405271052096826
farkhad,36,0.03140592607693065
kerimov,36,0.03140592607693065
associated,36,0.014827683280997244
natalya,36,0.02746758982374914
alyakina,36,0.02746758982374914
rufa,36,0.02746758982374914
focus,36,0.014528571158920985
vadim,36,0.0291021470535888
alferyev,36,0.03140592607693065
segodnyashnyaya,36,0.03140592607693065
dec,36,0.017055195143361016
oleg,36,0.02746758982374914
channel,36,0.02034961841184364
jan,36,0.019246459238883653
felix,36,0.05239945747347317
viktor,36,0.034574276588088565
pimenov,36,0.03140592607693065
vaynakh,36,0.03140592607693065
nadezhda,36,0.0291021470535888
chaikova,36,0.0291021470535888
obshchaya,36,0.0291021470535888
gazeta,36,0.021719857371030504
nina,36,0.026199728736736583
yefimova,36,0.0291021470535888
vozrozhdeniye,36,0.03140592607693065
mikhailov,36,0.02746758982374914
missing,36,0.022860031777065457
maxim,36,0.0291021470535888
shabalin,36,0.03140592607693065
nevskoye,36,0.09421777823079193
vremya,36,0.09421777823079193
seen,36,0.04757854056942381
titov,36,0.03140592607693065
sergei,36,0.019246459238883653
ivanov,36,0.0291021470535888
andrew,36,0.018921695523883945
shumack,36,0.03140592607693065
july,36,0.01384318486466749
committee,36,0.013116858890179509
protect,36,0.01359061803187866
front,36,0.015143421071649581
page,36,0.006543670272042658
website,36,0.01861449540303011
