term,count,tf
criminal,34,0.02883799830364716
law,24,0.020356234096692113
dui,24,0.020356234096692113
misdemeanors,16,0.013570822731128074
leading,1,0.0008481764206955047
illinois,19,0.016115351993214587
attorneys,1,0.0008481764206955047
codes,3,0.002544529262086514
attempt,4,0.0033927056827820186
conspiracy,6,0.005089058524173028
aiding,4,0.0033927056827820186
abetting,4,0.0033927056827820186
crimes,19,0.016115351993214587
causing,2,0.0016963528413910093
harm,3,0.002544529262086514
property,18,0.015267175572519083
civil,6,0.005089058524173028
rights,11,0.009329940627650551
sex,4,0.0033927056827820186
alcohol,9,0.007633587786259542
drug,4,0.0033927056827820186
related,6,0.005089058524173028
traffic,8,0.006785411365564037
offenses,9,0.007633587786259542
juveniles,3,0.002544529262086514
crime,30,0.02544529262086514
victims,10,0.008481764206955046
resources,2,0.0016963528413910093
chapter,7,0.005937234944868533
outlines,1,0.0008481764206955047
issues,1,0.0008481764206955047
focuses,1,0.0008481764206955047
punishments,1,0.0008481764206955047
relatively,1,0.0008481764206955047
severe,3,0.002544529262086514
felonies,9,0.007633587786259542
covered,2,0.0016963528413910093
white,3,0.002544529262086514
collar,3,0.002544529262086514
persons,2,0.0016963528413910093
accused,5,0.004240882103477523
discusses,1,0.0008481764206955047
driving,13,0.01102629346904156
influence,6,0.005089058524173028
violations,3,0.002544529262086514
juvenile,9,0.007633587786259542
justice,2,0.0016963528413910093
system,5,0.004240882103477523
family,1,0.0008481764206955047
covers,1,0.0008481764206955047
domestic,2,0.0016963528413910093
abuse,3,0.002544529262086514
protective,1,0.0008481764206955047
process,2,0.0016963528413910093
describes,1,0.0008481764206955047
procedure,1,0.0008481764206955047
private,1,0.0008481764206955047
causes,1,0.0008481764206955047
action,2,0.0016963528413910093
result,1,0.0008481764206955047
conduct,4,0.0033927056827820186
personal,1,0.0008481764206955047
injury,2,0.0016963528413910093
chapters,2,0.0016963528413910093
defines,1,0.0008481764206955047
prohibited,1,0.0008481764206955047
government,2,0.0016963528413910093
range,3,0.002544529262086514
penalties,3,0.002544529262086514
imposed,1,0.0008481764206955047
violating,3,0.002544529262086514
prohibitions,2,0.0016963528413910093
depending,2,0.0016963528413910093
nature,1,0.0008481764206955047
person,27,0.022900763358778626
violates,1,0.0008481764206955047
including,1,0.0008481764206955047
fines,2,0.0016963528413910093
imprisonment,5,0.004240882103477523
definition,1,0.0008481764206955047
committed,10,0.008481764206955046
laws,4,0.0033927056827820186
allow,1,0.0008481764206955047
authorities,1,0.0008481764206955047
seize,1,0.0008481764206955047
connected,3,0.002544529262086514
commission,2,0.0016963528413910093
example,8,0.006785411365564037
convicted,6,0.005089058524173028
repeatedly,1,0.0008481764206955047
driver,3,0.002544529262086514
license,3,0.002544529262086514
confiscated,1,0.0008481764206955047
privileges,7,0.005937234944868533
revoked,1,0.0008481764206955047
similarly,3,0.002544529262086514
charged,5,0.004240882103477523
controlled,2,0.0016963528413910093
substances,3,0.002544529262086514
forfeit,1,0.0008481764206955047
raw,1,0.0008481764206955047
materials,1,0.0008481764206955047
drugs,1,0.0008481764206955047
vehicles,1,0.0008481764206955047
real,2,0.0016963528413910093
money,2,0.0016963528413910093
proceeds,1,0.0008481764206955047
sale,1,0.0008481764206955047
defined,1,0.0008481764206955047
list,1,0.0008481764206955047
elements,3,0.002544529262086514
trial,1,0.0008481764206955047
prosecutor,2,0.0016963528413910093
attempts,1,0.0008481764206955047
prove,1,0.0008481764206955047
committing,5,0.004240882103477523
proven,1,0.0008481764206955047
judge,6,0.005089058524173028
jury,2,0.0016963528413910093
guilty,5,0.004240882103477523
minor,7,0.005937234944868533
reasonable,2,0.0016963528413910093
doubt,1,0.0008481764206955047
intent,1,0.0008481764206955047
commit,8,0.006785411365564037
takes,1,0.0008481764206955047
substantial,3,0.002544529262086514
step,3,0.002544529262086514
merely,1,0.0008481764206955047
thinking,1,0.0008481764206955047
preparing,1,0.0008481764206955047
teenagers,1,0.0008481764206955047
talks,1,0.0008481764206955047
easy,1,0.0008481764206955047
walk,1,0.0008481764206955047
store,2,0.0016963528413910093
pair,1,0.0008481764206955047
attempted,2,0.0016963528413910093
deactivate,1,0.0008481764206955047
alarm,1,0.0008481764206955047
detect,1,0.0008481764206955047
passes,1,0.0008481764206955047
doors,1,0.0008481764206955047
probably,1,0.0008481764206955047
tampering,1,0.0008481764206955047
vandalism,1,0.0008481764206955047
theft,6,0.005089058524173028
doctrines,1,0.0008481764206955047
apply,3,0.002544529262086514
wide,1,0.0008481764206955047
agreement,1,0.0008481764206955047
people,4,0.0033927056827820186
conspire,1,0.0008481764206955047
preclude,1,0.0008481764206955047
potential,1,0.0008481764206955047
renters,1,0.0008481764206955047
fall,1,0.0008481764206955047
protected,1,0.0008481764206955047
renting,2,0.0016963528413910093
apartments,1,0.0008481764206955047
building,2,0.0016963528413910093
apartment,1,0.0008481764206955047
manager,1,0.0008481764206955047
rejects,1,0.0008481764206955047
conspirator,1,0.0008481764206955047
conspirators,2,0.0016963528413910093
criminally,2,0.0016963528413910093
liable,4,0.0033927056827820186
acts,4,0.0033927056827820186
reasonably,1,0.0008481764206955047
foreseeable,1,0.0008481764206955047
aids,1,0.0008481764206955047
advises,2,0.0016963528413910093
intentionally,2,0.0016963528413910093
equally,1,0.0008481764206955047
penalize,1,0.0008481764206955047
variety,1,0.0008481764206955047
activities,1,0.0008481764206955047
listed,1,0.0008481764206955047
code,2,0.0016963528413910093
unlawfully,1,0.0008481764206955047
interfering,1,0.0008481764206955047
public,3,0.002544529262086514
utility,1,0.0008481764206955047
trespass,2,0.0016963528413910093
residence,2,0.0016963528413910093
vehicle,6,0.005089058524173028
damaging,3,0.002544529262086514
sign,1,0.0008481764206955047
light,1,0.0008481764206955047
offense,7,0.005937234944868533
means,3,0.002544529262086514
retail,3,0.002544529262086514
valued,1,0.0008481764206955047
misdemeanor,4,0.0033927056827820186
time,6,0.005089058524173028
shoplifting,1,0.0008481764206955047
arrested,2,0.0016963528413910093
similar,2,0.0016963528413910093
felony,5,0.004240882103477523
mentioned,1,0.0008481764206955047
usually,1,0.0008481764206955047
carry,5,0.004240882103477523
maximum,2,0.0016963528413910093
punishment,4,0.0033927056827820186
fine,4,0.0033927056827820186
incarceration,1,0.0008481764206955047
punished,1,0.0008481764206955047
jail,2,0.0016963528413910093
prison,1,0.0008481764206955047
categorized,1,0.0008481764206955047
burglary,1,0.0008481764206955047
robbery,1,0.0008481764206955047
value,2,0.0016963528413910093
depends,2,0.0016963528413910093
damaged,1,0.0008481764206955047
statute,1,0.0008481764206955047
prohibiting,1,0.0008481764206955047
damage,4,0.0033927056827820186
knowingly,3,0.002544529262086514
recklessly,1,0.0008481764206955047
setting,2,0.0016963528413910093
fire,1,0.0008481764206955047
injuring,1,0.0008481764206955047
animal,1,0.0008481764206955047
bomb,1,0.0008481764206955047
offensive,1,0.0008481764206955047
compound,1,0.0008481764206955047
equals,1,0.0008481764206955047
paint,1,0.0008481764206955047
tool,1,0.0008481764206955047
writing,1,0.0008481764206955047
instrument,1,0.0008481764206955047
device,1,0.0008481764206955047
severity,1,0.0008481764206955047
level,1,0.0008481764206955047
exceeds,1,0.0008481764206955047
contrast,1,0.0008481764206955047
arson,1,0.0008481764206955047
human,1,0.0008481764206955047
act,2,0.0016963528413910093
forbids,1,0.0008481764206955047
discrimination,1,0.0008481764206955047
employment,1,0.0008481764206955047
housing,1,0.0008481764206955047
financial,1,0.0008481764206955047
credit,1,0.0008481764206955047
accommodations,1,0.0008481764206955047
basis,1,0.0008481764206955047
age,9,0.007633587786259542
ancestry,1,0.0008481764206955047
citizenship,1,0.0008481764206955047
color,1,0.0008481764206955047
disability,2,0.0016963528413910093
marital,1,0.0008481764206955047
status,2,0.0016963528413910093
national,1,0.0008481764206955047
origin,1,0.0008481764206955047
race,1,0.0008481764206955047
religion,1,0.0008481764206955047
unfavorable,1,0.0008481764206955047
military,1,0.0008481764206955047
discharge,1,0.0008481764206955047
violation,1,0.0008481764206955047
subject,1,0.0008481764206955047
prosecution,1,0.0008481764206955047
actions,1,0.0008481764206955047
involving,1,0.0008481764206955047
illegal,2,0.0016963528413910093
previous,1,0.0008481764206955047
child,2,0.0016963528413910093
involved,1,0.0008481764206955047
prostitution,1,0.0008481764206955047
solicitation,1,0.0008481764206955047
sexual,6,0.005089058524173028
called,3,0.002544529262086514
statutory,1,0.0008481764206955047
rape,1,0.0008481764206955047
penetration,2,0.0016963528413910093
victim,9,0.007633587786259542
force,1,0.0008481764206955047
unable,2,0.0016963528413910093
consent,1,0.0008481764206955047
commonly,1,0.0008481764206955047
known,1,0.0008481764206955047
frequently,1,0.0008481764206955047
prosecuted,2,0.0016963528413910093
blood,1,0.0008481764206955047
concentration,1,0.0008481764206955047
bac,5,0.004240882103477523
physical,1,0.0008481764206955047
control,1,0.0008481764206955047
motor,1,0.0008481764206955047
considered,1,0.0008481764206955047
charges,3,0.002544529262086514
evidence,3,0.002544529262086514
alcoholic,2,0.0016963528413910093
beverages,3,0.002544529262086514
sealed,1,0.0008481764206955047
original,1,0.0008481764206955047
containers,1,0.0008481764206955047
held,1,0.0008481764206955047
serving,1,0.0008481764206955047
commits,2,0.0016963528413910093
mandatory,4,0.0033927056827820186
sentence,1,0.0008481764206955047
losing,1,0.0008481764206955047
car,1,0.0008481764206955047
arrest,2,0.0016963528413910093
add,1,0.0008481764206955047
days,2,0.0016963528413910093
community,2,0.0016963528413910093
service,2,0.0016963528413910093
subsequent,3,0.002544529262086514
convictions,3,0.002544529262086514
increased,1,0.0008481764206955047
loss,3,0.002544529262086514
zero,2,0.0016963528413910093
tolerance,2,0.0016963528413910093
campaign,1,0.0008481764206955047
address,2,0.0016963528413910093
especially,1,0.0008481764206955047
drivers,2,0.0016963528413910093
automatically,2,0.0016963528413910093
loses,3,0.002544529262086514
drive,1,0.0008481764206955047
consider,2,0.0016963528413910093
intoxicated,2,0.0016963528413910093
months,1,0.0008481764206955047
refusing,1,0.0008481764206955047
submit,1,0.0008481764206955047
chemical,1,0.0008481764206955047
testing,1,0.0008481764206955047
carries,2,0.0016963528413910093
suspension,1,0.0008481764206955047
include,3,0.002544529262086514
reckless,2,0.0016963528413910093
homicide,2,0.0016963528413910093
discussed,2,0.0016963528413910093
aggravated,3,0.002544529262086514
offender,2,0.0016963528413910093
school,1,0.0008481764206955047
bus,1,0.0008481764206955047
full,1,0.0008481764206955047
children,2,0.0016963528413910093
collision,1,0.0008481764206955047
caused,2,0.0016963528413910093
bodily,2,0.0016963528413910093
permanent,1,0.0008481764206955047
disfigurement,1,0.0008481764206955047
conviction,2,0.0016963528413910093
minimum,1,0.0008481764206955047
numerous,1,0.0008481764206955047
falsifying,1,0.0008481764206955047
failing,1,0.0008481764206955047
valid,1,0.0008481764206955047
automobile,1,0.0008481764206955047
insurance,1,0.0008481764206955047
allowing,2,0.0016963528413910093
drink,1,0.0008481764206955047
selling,1,0.0008481764206955047
hotel,1,0.0008481764206955047
drinking,1,0.0008481764206955047
operate,1,0.0008481764206955047
court,9,0.007633587786259542
minors,5,0.004240882103477523
operates,1,0.0008481764206955047
separately,1,0.0008481764206955047
courts,4,0.0033927056827820186
purpose,1,0.0008481764206955047
separate,2,0.0016963528413910093
help,1,0.0008481764206955047
serve,1,0.0008481764206955047
simply,1,0.0008481764206955047
punish,1,0.0008481764206955047
run,1,0.0008481764206955047
delinquent,6,0.005089058524173028
distinction,2,0.0016963528413910093
words,1,0.0008481764206955047
adult,3,0.002544529262086514
ages,1,0.0008481764206955047
degree,1,0.0008481764206955047
murder,1,0.0008481764206955047
adults,1,0.0008481764206955047
significant,1,0.0008481764206955047
courtroom,2,0.0016963528413910093
procedures,1,0.0008481764206955047
formal,1,0.0008481764206955047
giving,1,0.0008481764206955047
testimony,2,0.0016963528413910093
supportive,1,0.0008481764206955047
heard,2,0.0016963528413910093
adjudication,1,0.0008481764206955047
hearing,1,0.0008481764206955047
determines,1,0.0008481764206955047
