term,count,tf
información,1,0.01639344262295082
estadística,1,0.01639344262295082
cont,1,0.01639344262295082
página,2,0.03278688524590164
anterior,1,0.01639344262295082
tabla,1,0.01639344262295082
de,9,0.14754098360655737
reservas,2,0.03278688524590164
petróleo,2,0.03278688524590164
gas,2,0.03278688524590164
las,1,0.01639344262295082
principales,1,0.01639344262295082
compañías,1,0.01639344262295082
petroleras,1,0.01639344262295082
en,4,0.06557377049180328
que,1,0.01639344262295082
la,1,0.01639344262295082
bolsa,1,0.01639344262295082
york,1,0.01639344262295082
miles,1,0.01639344262295082
millones,1,0.01639344262295082
incluyendo,1,0.01639344262295082
maxus,1,0.01639344262295082
ventas,1,0.01639344262295082
por,2,0.03278688524590164
geográficas,2,0.03278688524590164
total,5,0.08196721311475409
el,2,0.03278688524590164
mundo,2,0.03278688524590164
producción,2,0.03278688524590164
argentina,3,0.04918032786885246
natural,1,0.01639344262295082
venta,1,0.01639344262295082
nafta,1,0.01639344262295082
siguiente,1,0.01639344262295082
