term,count,tf
acu,3,0.006147540983606557
house,2,0.004098360655737705
ratings,2,0.004098360655737705
republicans,1,0.0020491803278688526
bold,1,0.0020491803278688526
type,1,0.0020491803278688526
key,1,0.0020491803278688526
issues,1,0.0020491803278688526
index,1,0.0020491803278688526
alabama,1,0.0020491803278688526
callahan,1,0.0020491803278688526
dickson,1,0.0020491803278688526
nichols,1,0.0020491803278688526
bevill,1,0.0020491803278688526
flippo,1,0.0020491803278688526
erdreich,1,0.0020491803278688526
harris,1,0.0020491803278688526
alaska,1,0.0020491803278688526
arizona,1,0.0020491803278688526
rhodes,1,0.0020491803278688526
iii,1,0.0020491803278688526
udall,1,0.0020491803278688526
stump,1,0.0020491803278688526
kyl,1,0.0020491803278688526
kolbe,1,0.0020491803278688526
arkansas,1,0.0020491803278688526
alexander,1,0.0020491803278688526
robinson,1,0.0020491803278688526
hammerschmidt,1,0.0020491803278688526
anthony,1,0.0020491803278688526
california,1,0.0020491803278688526
bosco,1,0.0020491803278688526
matsui,1,0.0020491803278688526
fazio,2,0.004098360655737705
boxer,1,0.0020491803278688526
miller,3,0.006147540983606557
dellums,1,0.0020491803278688526
stark,1,0.0020491803278688526
edwards,2,0.004098360655737705
lantos,1,0.0020491803278688526
konnyu,1,0.0020491803278688526
mineta,1,0.0020491803278688526
shumway,1,0.0020491803278688526
coelho,1,0.0020491803278688526
panetta,1,0.0020491803278688526
pashayan,1,0.0020491803278688526
lehman,2,0.004098360655737705
lagomarsino,1,0.0020491803278688526
thomas,2,0.004098360655737705
moorehead,1,0.0020491803278688526
bielenson,1,0.0020491803278688526
waxman,1,0.0020491803278688526
roybal,1,0.0020491803278688526
berman,1,0.0020491803278688526
levine,1,0.0020491803278688526
dixon,1,0.0020491803278688526
hawkins,1,0.0020491803278688526
martinez,1,0.0020491803278688526
dymally,1,0.0020491803278688526
anderson,1,0.0020491803278688526
dreier,1,0.0020491803278688526
torres,1,0.0020491803278688526
lewis,3,0.006147540983606557
brown,2,0.004098360655737705
mccandless,1,0.0020491803278688526
dornan,1,0.0020491803278688526
dannemeyer,1,0.0020491803278688526
badham,1,0.0020491803278688526
lowery,1,0.0020491803278688526
lungren,1,0.0020491803278688526
packard,1,0.0020491803278688526
bates,1,0.0020491803278688526
hunter,1,0.0020491803278688526
colorado,1,0.0020491803278688526
schroeder,1,0.0020491803278688526
skaggs,1,0.0020491803278688526
campbell,1,0.0020491803278688526
schaefer,1,0.0020491803278688526
connecticut,1,0.0020491803278688526
kennelly,1,0.0020491803278688526
gejdenson,1,0.0020491803278688526
morrison,2,0.004098360655737705
mckinney,1,0.0020491803278688526
shays,1,0.0020491803278688526
rowland,2,0.004098360655737705
johnson,2,0.004098360655737705
delaware,1,0.0020491803278688526
carper,1,0.0020491803278688526
florida,1,0.0020491803278688526
hutto,1,0.0020491803278688526
grant,1,0.0020491803278688526
bennett,1,0.0020491803278688526
chappell,1,0.0020491803278688526
mccollum,1,0.0020491803278688526
mackay,1,0.0020491803278688526
gibbons,1,0.0020491803278688526
bilirakis,1,0.0020491803278688526
ireland,1,0.0020491803278688526
nelson,1,0.0020491803278688526
mack,1,0.0020491803278688526
mica,1,0.0020491803278688526
shaw,1,0.0020491803278688526
smith,8,0.01639344262295082
pepper,1,0.0020491803278688526
fascell,1,0.0020491803278688526
georgia,1,0.0020491803278688526
hatcher,1,0.0020491803278688526
ray,1,0.0020491803278688526
swindall,1,0.0020491803278688526
gingrich,1,0.0020491803278688526
darden,1,0.0020491803278688526
jenkins,1,0.0020491803278688526
barnard,1,0.0020491803278688526
hawaii,1,0.0020491803278688526
akaka,1,0.0020491803278688526
idaho,1,0.0020491803278688526
craig,1,0.0020491803278688526
stallings,1,0.0020491803278688526
illinois,1,0.0020491803278688526
hayes,2,0.004098360655737705
savage,1,0.0020491803278688526
russo,1,0.0020491803278688526
davis,2,0.004098360655737705
lipinski,1,0.0020491803278688526
hyde,1,0.0020491803278688526
collins,1,0.0020491803278688526
rostenkowski,1,0.0020491803278688526
yates,1,0.0020491803278688526
porter,1,0.0020491803278688526
annunzio,1,0.0020491803278688526
crane,1,0.0020491803278688526
fawell,1,0.0020491803278688526
madigan,1,0.0020491803278688526
martin,2,0.004098360655737705
evans,1,0.0020491803278688526
michel,1,0.0020491803278688526
bruce,1,0.0020491803278688526
durbin,1,0.0020491803278688526
price,2,0.004098360655737705
gray,2,0.004098360655737705
indiana,1,0.0020491803278688526
visclosky,1,0.0020491803278688526
sharp,1,0.0020491803278688526
hiler,1,0.0020491803278688526
coats,1,0.0020491803278688526
burton,1,0.0020491803278688526
myers,1,0.0020491803278688526
mccloskey,1,0.0020491803278688526
hamilton,1,0.0020491803278688526
jacobs,1,0.0020491803278688526
iowa,1,0.0020491803278688526
leach,1,0.0020491803278688526
tauke,1,0.0020491803278688526
lightfoot,1,0.0020491803278688526
kansas,1,0.0020491803278688526
roberts,1,0.0020491803278688526
slattery,1,0.0020491803278688526
meyers,1,0.0020491803278688526
glickman,1,0.0020491803278688526
whittaker,1,0.0020491803278688526
kentucky,1,0.0020491803278688526
hubbard,1,0.0020491803278688526
natcher,1,0.0020491803278688526
mazzoli,1,0.0020491803278688526
rogers,1,0.0020491803278688526
hopkins,1,0.0020491803278688526
perkins,1,0.0020491803278688526
louisiana,1,0.0020491803278688526
livingston,1,0.0020491803278688526
boggs,1,0.0020491803278688526
tauzin,1,0.0020491803278688526
roemer,1,0.0020491803278688526
huckaby,1,0.0020491803278688526
baker,1,0.0020491803278688526
holloway,1,0.0020491803278688526
maine,1,0.0020491803278688526
brennan,1,0.0020491803278688526
snowe,1,0.0020491803278688526
maryland,1,0.0020491803278688526
dyson,1,0.0020491803278688526
bentley,1,0.0020491803278688526
hoyer,1,0.0020491803278688526
byron,1,0.0020491803278688526
morella,1,0.0020491803278688526
massachusetts,1,0.0020491803278688526
conte,1,0.0020491803278688526
boland,1,0.0020491803278688526
frank,1,0.0020491803278688526
atkins,1,0.0020491803278688526
mavroules,1,0.0020491803278688526
markey,1,0.0020491803278688526
kennedy,1,0.0020491803278688526
moakley,1,0.0020491803278688526
studds,1,0.0020491803278688526
donnelly,1,0.0020491803278688526
michigan,1,0.0020491803278688526
conyers,1,0.0020491803278688526
pursell,1,0.0020491803278688526
wolpe,1,0.0020491803278688526
upton,1,0.0020491803278688526
henry,1,0.0020491803278688526
carr,1,0.0020491803278688526
kildee,1,0.0020491803278688526
traxler,1,0.0020491803278688526
vander,1,0.0020491803278688526
jagt,1,0.0020491803278688526
schuette,1,0.0020491803278688526
bonior,1,0.0020491803278688526
crockett,1,0.0020491803278688526
hertel,1,0.0020491803278688526
ford,2,0.004098360655737705
dingell,1,0.0020491803278688526
levin,1,0.0020491803278688526
broomfield,1,0.0020491803278688526
minnesota,1,0.0020491803278688526
penny,1,0.0020491803278688526
weber,1,0.0020491803278688526
frenzel,1,0.0020491803278688526
vento,1,0.0020491803278688526
sabo,1,0.0020491803278688526
sikorski,1,0.0020491803278688526
stangeland,1,0.0020491803278688526
oberstar,1,0.0020491803278688526
mississippi,1,0.0020491803278688526
whitten,1,0.0020491803278688526
montgomery,1,0.0020491803278688526
dowdy,1,0.0020491803278688526
lott,1,0.0020491803278688526
missouri,1,0.0020491803278688526
clay,1,0.0020491803278688526
gephart,1,0.0020491803278688526
skelton,1,0.0020491803278688526
wheat,1,0.0020491803278688526
coleman,2,0.004098360655737705
taylor,1,0.0020491803278688526
emerson,1,0.0020491803278688526
volkner,1,0.0020491803278688526
montana,1,0.0020491803278688526
williams,1,0.0020491803278688526
marlenee,1,0.0020491803278688526
nebraska,1,0.0020491803278688526
bereuter,1,0.0020491803278688526
daub,1,0.0020491803278688526
nevada,1,0.0020491803278688526
vucanovich,1,0.0020491803278688526
hampshire,1,0.0020491803278688526
gregg,1,0.0020491803278688526
jersey,1,0.0020491803278688526
florio,1,0.0020491803278688526
hughes,1,0.0020491803278688526
howard,1,0.0020491803278688526
roukema,1,0.0020491803278688526
dwyer,1,0.0020491803278688526
rinaldo,1,0.0020491803278688526
roe,1,0.0020491803278688526
torricelli,1,0.0020491803278688526
rodino,1,0.0020491803278688526
gallo,1,0.0020491803278688526
courter,1,0.0020491803278688526
saxton,1,0.0020491803278688526
guarini,1,0.0020491803278688526
mexico,1,0.0020491803278688526
lujan,1,0.0020491803278688526
skeen,1,0.0020491803278688526
richardson,1,0.0020491803278688526
york,1,0.0020491803278688526
downey,1,0.0020491803278688526
mrazek,1,0.0020491803278688526
lent,1,0.0020491803278688526
mcgrath,1,0.0020491803278688526
ackerman,1,0.0020491803278688526
scheuer,1,0.0020491803278688526
manton,1,0.0020491803278688526
schumer,1,0.0020491803278688526
towns,1,0.0020491803278688526
owens,2,0.004098360655737705
sloarz,1,0.0020491803278688526
molinari,1,0.0020491803278688526
green,1,0.0020491803278688526
rangel,1,0.0020491803278688526
weiss,1,0.0020491803278688526
garcia,1,0.0020491803278688526
biaggi,1,0.0020491803278688526
dioguardi,1,0.0020491803278688526
fish,1,0.0020491803278688526
gilman,1,0.0020491803278688526
stratton,1,0.0020491803278688526
solomon,1,0.0020491803278688526
boehlert,1,0.0020491803278688526
wortley,1,0.0020491803278688526
mchugh,1,0.0020491803278688526
horton,1,0.0020491803278688526
slaughter,2,0.004098360655737705
kemp,1,0.0020491803278688526
lafaice,1,0.0020491803278688526
nowak,1,0.0020491803278688526
houghton,1,0.0020491803278688526
north,2,0.004098360655737705
carolina,2,0.004098360655737705
jones,2,0.004098360655737705
valentine,1,0.0020491803278688526
lancaster,1,0.0020491803278688526
neal,1,0.0020491803278688526
coble,1,0.0020491803278688526
rose,1,0.0020491803278688526
hefner,1,0.0020491803278688526
mcmillian,1,0.0020491803278688526
broyhill,1,0.0020491803278688526
clarke,1,0.0020491803278688526
dakota,2,0.004098360655737705
dorgan,1,0.0020491803278688526
ohio,1,0.0020491803278688526
luken,1,0.0020491803278688526
gradison,1,0.0020491803278688526
